x0,x1,y0,y1,z0,z1,face,material,surf_variant,flux_kW_m2,cos_theta
0.6000,0.6000,-0.2000,0.2000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.4000,-0.3000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,0.3000,0.4000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.5000,-0.4000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,0.4000,0.5000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.6000,-0.5000,-0.2000,0.2000,-x,EGFR,EGFR_R0600,600,0.9659
0.6000,0.6000,0.5000,0.6000,-0.2000,0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.5000,-0.4000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,0.4000,0.5000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.4000,-0.3000,0.4000,0.5000,-x,EGFR,EGFR_R0600,600,0.9659
0.6000,0.6000,0.3000,0.4000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,-0.3000,-0.1000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.6000,0.6000,0.1000,0.3000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.1000,0.1000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.3000,-0.2000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,0.2000,0.3000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.6000,-0.5000,-0.3000,-0.2000,-x,EGFR,EGFR_R0600,600,0.9659
0.7000,0.7000,0.5000,0.6000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.6000,-0.5000,0.2000,0.3000,-x,EGFR,EGFR_R0600,600,0.9659
0.7000,0.7000,-0.6000,-0.5000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,0.5000,0.6000,0.2000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.5000,-0.4000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,0.4000,0.5000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.4000,-0.3000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,0.3000,0.4000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.2000,-0.1000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,0.1000,0.2000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.7000,0.7000,-0.1000,0.1000,0.6000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.2000,-0.1000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.1000,0.2000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.4000,-0.3000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.3000,0.4000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.5000,-0.4000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.4000,0.5000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.6000,-0.5000,-0.4000,-0.3000,-x,EGFR,EGFR_R0600,600,0.9659
0.8000,0.8000,0.5000,0.6000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.7000,-0.6000,-0.2000,0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.6000,0.7000,-0.2000,0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.6000,-0.5000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.5000,0.6000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.5000,-0.4000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.4000,0.5000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.3000,-0.2000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.2000,0.3000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,-0.2000,-0.1000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
0.8000,0.8000,0.1000,0.2000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.3000,-0.2000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.2000,0.3000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.5000,-0.4000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.4000,0.5000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.6000,-0.5000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.5000,0.6000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.7000,-0.6000,-0.3000,-0.2000,-x,EGFR,EGFR_R0600,600,0.9659
0.9000,0.9000,0.6000,0.7000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.7000,-0.6000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.6000,0.7000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.4000,-0.3000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.3000,0.4000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,-0.2000,-0.1000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
0.9000,0.9000,0.1000,0.2000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.2000,0.2000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.4000,-0.3000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.3000,0.4000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.7000,-0.6000,-0.4000,-0.3000,-x,EGFR,EGFR_R0950,950,0.9659
1.0000,1.0000,0.6000,0.7000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.8000,-0.7000,-0.2000,0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.7000,0.8000,-0.2000,0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.7000,-0.6000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.6000,0.7000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.6000,-0.5000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.5000,0.6000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.5000,-0.4000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.4000,0.5000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,-0.3000,-0.2000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.0000,1.0000,0.2000,0.3000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.3000,-0.2000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.2000,0.3000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.5000,-0.4000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.4000,0.5000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.6000,-0.5000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.5000,0.6000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.7000,-0.6000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.6000,0.7000,-0.5000,-0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.8000,-0.7000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.7000,0.8000,-0.3000,-0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.8000,-0.7000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.7000,0.8000,0.3000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.7000,-0.6000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.6000,0.7000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.6000,-0.5000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.5000,0.6000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,-0.4000,-0.3000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.1000,1.1000,0.3000,0.4000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.2000,0.2000,-0.9000,-0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.4000,-0.3000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.3000,0.4000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.8000,-0.7000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.7000,0.8000,-0.4000,-0.3000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.9000,-0.8000,-0.1000,0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.8000,0.9000,-0.1000,0.2000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.8000,-0.7000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.7000,0.8000,0.4000,0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.5000,-0.4000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.4000,0.5000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,-0.3000,-0.2000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.2000,1.2000,0.2000,0.4000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.3000,-0.2000,-0.9000,-0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.2000,0.3000,-0.9000,-0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.5000,-0.4000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.4000,0.5000,-0.8000,-0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.6000,-0.5000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.5000,0.6000,-0.7000,-0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.7000,-0.6000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.6000,0.7000,-0.6000,-0.5000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.9000,-0.8000,-0.2000,-0.1000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.8000,0.9000,-0.2000,-0.1000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.9000,-0.8000,0.2000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.8000,0.9000,0.2000,0.4000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.8000,-0.7000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.7000,0.8000,0.5000,0.6000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.7000,-0.6000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.6000,0.7000,0.6000,0.7000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.6000,-0.5000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.5000,0.6000,0.7000,0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.5000,-0.3000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,0.4000,0.5000,0.8000,0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.3000,1.3000,-0.2000,0.2000,0.9000,1.0000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.1000,0.1000,-1.0000,-0.9000,-x,EGFR,EGFR_R1250,1250,0.9659
1.4000,1.4000,-0.4000,-0.3000,-0.9000,-0.8000,-x,EGFR,EGFR_R1250,1250,0.9659
