azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
225.0,30.0,11,7,400.0,545.7142857142857,533.6363636363636,600.0,600.0,0.0,500.0,0.0,500.0,600.0,0.0,600.0,0.0,600.0,600.0,500.0,400.0,0.0,0.0,500.0,600.0,550.0,0.0,500.0,0.0,500.0,600.0,0.0,600.0,0.0,560.0,600.0,500.0,400.0,0.0,0.0,460.0
315.0,60.0,11,7,350.0,678.5714285714286,659.0909090909091,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,350.0,0.0,850.0,850.0,250.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,750.0,0.0,750.0,450.0,0.0,350.0,0.0,850.0,850.0,250.0,650.0,0.0,0.0,750.0
45.0,15.0,11,7,350.0,621.4285714285714,595.4545454545455,700.0,700.0,0.0,600.0,0.0,550.0,700.0,700.0,700.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,0.0,700.0,650.0,0.0,500.0,0.0,500.0,700.0,700.0,350.0,0.0,700.0,700.0,550.0,500.0,0.0,0.0,0.0
180.0,45.0,11,7,350.0,614.2857142857143,608.1818181818181,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,550.0,700.0,600.0,0.0,600.0,0.0,590.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,550.0
0.0,45.0,11,7,350.0,611.4285714285714,611.8181818181819,700.0,700.0,0.0,650.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,600.0,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,550.0,555.0,0.0,0.0,575.0
135.0,15.0,11,7,250.0,460.0,491.3636363636364,700.0,600.0,0.0,600.0,0.0,550.0,700.0,700.0,700.0,0.0,250.0,250.0,600.0,550.0,0.0,0.0,0.0,700.0,600.0,0.0,500.0,0.0,535.0,700.0,480.00000000000006,384.9999999999999,0.0,250.0,250.0,550.0,455.00000000000006,0.0,0.0,0.0
315.0,15.0,11,7,200.0,607.1428571428571,582.7272727272727,700.0,700.0,600.0,600.0,0.0,600.0,700.0,0.0,700.0,0.0,700.0,700.0,500.0,200.0,0.0,0.0,0.0,700.0,650.0,550.0,550.0,0.0,585.0000000000001,700.0,0.0,700.0,0.0,700.0,700.0,375.0,200.0,0.0,0.0,0.0
270.0,5.0,11,7,50.0,835.7142857142857,836.3636363636364,1000.0,900.0,0.0,850.0,850.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,850.0,50.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,800.0,800.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,800.0,50.0,0.0,0.0,0.0
135.0,5.0,10,7,95.0,437.85714285714283,472.0,700.0,600.0,0.0,600.0,0.0,600.0,700.0,700.0,700.0,0.0,100.0,100.0,0.0,600.0,0.0,0.0,0.0,700.0,550.0,0.0,550.0,0.0,555.0,700.0,570.0,384.9999999999999,0.0,95.0,100.0,0.0,515.0,0.0,0.0,0.0
180.0,60.0,10,6,670.0,803.3333333333334,740.5,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,0.0,0.0,850.0,850.0,450.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,710.0,850.0,0.0,0.0,0.0,850.0,850.0,425.0,670.0,0.0,0.0,750.0
180.0,15.0,10,6,560.0,851.6666666666666,839.5,950.0,950.0,0.0,900.0,0.0,800.0,950.0,0.0,700.0,0.0,950.0,950.0,800.0,750.0,0.0,0.0,0.0,950.0,900.0,0.0,800.0,0.0,785.0,950.0,0.0,560.0,0.0,950.0,950.0,800.0,750.0,0.0,0.0,0.0
0.0,15.0,10,6,500.0,850.0,839.5,950.0,950.0,0.0,900.0,0.0,800.0,950.0,0.0,700.0,0.0,950.0,950.0,800.0,800.0,0.0,0.0,0.0,950.0,900.0,0.0,800.0,0.0,795.0,950.0,0.0,500.0,0.0,950.0,950.0,800.0,800.0,0.0,0.0,0.0
0.0,60.0,10,6,500.0,743.3333333333334,708.0,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,0.0,0.0,850.0,850.0,450.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,750.0,500.0,0.0,0.0,0.0,850.0,850.0,420.0,660.0,0.0,0.0,750.0
90.0,60.0,10,6,250.0,666.6666666666666,590.0,850.0,750.0,0.0,750.0,0.0,150.0,850.0,0.0,250.0,0.0,850.0,850.0,450.0,450.0,0.0,0.0,0.0,850.0,700.0,0.0,650.0,0.0,150.0,850.0,0.0,250.0,0.0,850.0,850.0,400.0,350.0,0.0,0.0,0.0
225.0,15.0,10,6,200.0,593.3333333333334,536.0,700.0,650.0,0.0,600.0,0.0,600.0,700.0,0.0,700.0,0.0,700.0,700.0,100.0,200.0,0.0,0.0,0.0,700.0,600.0,0.0,550.0,0.0,550.0,700.0,0.0,700.0,0.0,560.0,700.0,100.0,200.0,0.0,0.0,0.0
0.0,5.0,9,6,330.0,888.3333333333334,881.1111111111111,1000.0,1000.0,0.0,900.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,400.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,330.0,0.0,0.0,0.0
180.0,5.0,9,6,330.0,888.3333333333334,881.1111111111111,1000.0,1000.0,0.0,900.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,400.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,0.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,330.0,0.0,0.0,0.0
90.0,45.0,9,5,350.0,616.0,536.6666666666666,700.0,600.0,0.0,550.0,0.0,200.0,700.0,0.0,350.0,0.0,700.0,700.0,550.0,0.0,0.0,0.0,0.0,700.0,550.0,0.0,500.0,0.0,200.0,700.0,0.0,350.0,0.0,630.0,700.0,500.0,0.0,0.0,0.0,0.0
315.0,5.0,8,5,700.0,700.0,661.875,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,700.0,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,700.0,650.0,0.0,550.0,0.0,594.9999999999999,700.0,0.0,700.0,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0
225.0,5.0,8,5,560.0,672.0,645.0,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,700.0,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,700.0,600.0,0.0,600.0,0.0,600.0,700.0,0.0,700.0,0.0,560.0,700.0,0.0,0.0,0.0,0.0,0.0
90.0,5.0,5,2,220.00000000000003,610.0,504.0,0.0,250.0,0.0,50.0,0.0,0.0,500.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,50.0,0.0,0.0,220.00000000000003,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
90.0,15.0,4,2,250.0,600.0,565.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,0.0,950.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,0.0,950.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0
90.0,30.0,3,2,500.0,657.5,571.6666666666666,850.0,700.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,400.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
