azimuth_deg,elevation_deg,direct_groups,direct_target_groups,min_positive_target_p90,mean_target_p90,mean_all_p90,RADM_max,WINS_max,BED_max,CURT_max,U4_max,SEAT_max,AL2024_max,AL5052_max,AL7075_max,O2TANK_max,H1_max,H2_max,H3_max,H4_max,H5_max,H6_max,H7_max,RADM_p90,WINS_p90,BED_p90,CURT_p90,U4_p90,SEAT_p90,AL2024_p90,AL5052_p90,AL7075_p90,O2TANK_p90,H1_p90,H2_p90,H3_p90,H4_p90,H5_p90,H6_p90,H7_p90
300.0,75.0,12,8,660.0,843.125,828.75,950.0,950.0,0.0,950.0,0.0,800.0,950.0,0.0,800.0,800.0,950.0,950.0,800.0,750.0,0.0,0.0,800.0,950.0,950.0,0.0,750.0,0.0,800.0,950.0,0.0,800.0,660.0,950.0,950.0,700.0,710.0,0.0,0.0,775.0
240.0,75.0,12,8,660.0,838.75,821.6666666666666,950.0,950.0,0.0,950.0,0.0,800.0,950.0,0.0,800.0,800.0,950.0,950.0,800.0,800.0,0.0,0.0,800.0,950.0,950.0,0.0,750.0,0.0,750.0,950.0,0.0,750.0,660.0,950.0,950.0,700.0,700.0,0.0,0.0,800.0
330.0,75.0,12,8,650.0,845.0,830.8333333333334,950.0,950.0,0.0,950.0,0.0,800.0,950.0,0.0,800.0,800.0,950.0,950.0,800.0,800.0,0.0,0.0,800.0,950.0,900.0,0.0,750.0,0.0,800.0,950.0,0.0,800.0,650.0,950.0,950.0,760.0000000000001,735.0,0.0,0.0,775.0
210.0,75.0,12,8,620.0,840.0,823.3333333333334,950.0,950.0,0.0,800.0,0.0,800.0,950.0,0.0,800.0,750.0,950.0,950.0,800.0,800.0,0.0,0.0,800.0,950.0,900.0,0.0,750.0,0.0,800.0,950.0,0.0,800.0,620.0,950.0,950.0,710.0000000000001,700.0,0.0,0.0,800.0
150.0,75.0,12,8,560.0,822.5,806.6666666666666,950.0,950.0,0.0,800.0,0.0,800.0,950.0,0.0,800.0,750.0,950.0,950.0,800.0,700.0,0.0,0.0,800.0,950.0,900.0,0.0,700.0,0.0,800.0,950.0,0.0,800.0,620.0,950.0,950.0,700.0,560.0,0.0,0.0,800.0
240.0,60.0,12,8,450.0,695.625,662.9166666666666,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,450.0,550.0,850.0,850.0,200.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,739.9999999999999,650.0,0.0,450.0,500.0,850.0,850.0,200.0,670.0000000000001,0.0,0.0,745.0000000000001
300.0,60.0,12,8,450.0,673.125,644.5833333333334,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,450.0,600.0,850.0,850.0,200.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,700.0,450.0,0.0,450.0,600.0,850.0,850.0,200.0,635.0,0.0,0.0,700.0
30.0,30.0,12,8,400.0,631.25,622.0833333333334,750.0,750.0,0.0,650.0,0.0,650.0,750.0,750.0,450.0,0.0,750.0,750.0,650.0,550.0,0.0,0.0,500.0,750.0,750.0,0.0,600.0,0.0,465.0000000000002,750.0,750.0,450.0,0.0,750.0,750.0,600.0,450.0,0.0,0.0,400.0
120.0,30.0,12,8,400.0,483.75,473.75,750.0,600.0,0.0,600.0,0.0,450.0,550.0,450.0,400.0,0.0,500.0,500.0,600.0,500.0,0.0,0.0,600.0,750.0,425.0,0.0,450.0,0.0,390.0,500.0,450.0,400.0,0.0,500.0,420.0,550.0,450.0,0.0,0.0,400.0
330.0,30.0,12,8,355.0,592.5,601.25,750.0,750.0,0.0,650.0,0.0,650.0,750.0,0.0,750.0,400.0,750.0,750.0,650.0,450.0,0.0,0.0,550.0,750.0,750.0,0.0,600.0,0.0,525.0,750.0,0.0,450.0,355.0,750.0,750.0,600.0,435.00000000000006,0.0,0.0,500.0
210.0,30.0,12,8,355.0,533.75,553.75,750.0,750.0,0.0,650.0,0.0,650.0,750.0,0.0,450.0,400.0,500.0,750.0,600.0,400.0,0.0,0.0,600.0,750.0,650.0,0.0,600.0,0.0,550.0,750.0,0.0,450.0,400.0,500.0,525.0000000000003,575.0,355.0,0.0,0.0,540.0
30.0,45.0,12,8,350.0,571.875,552.0833333333334,700.0,650.0,0.0,600.0,0.0,600.0,700.0,700.0,350.0,0.0,700.0,700.0,300.0,600.0,0.0,0.0,600.0,700.0,650.0,0.0,550.0,0.0,600.0,600.0,640.0,350.0,0.0,680.0000000000001,600.0,250.0,455.00000000000006,0.0,0.0,550.0
150.0,45.0,12,8,340.0,557.5,530.0,700.0,650.0,0.0,600.0,0.0,600.0,700.0,350.0,350.0,0.0,700.0,700.0,250.0,550.0,0.0,0.0,600.0,700.0,600.0,0.0,500.0,0.0,550.0,700.0,340.0,350.0,0.0,700.0,700.0,250.0,420.0000000000001,0.0,0.0,550.0
300.0,30.0,12,8,330.0,600.625,582.5,750.0,750.0,0.0,650.0,0.0,650.0,750.0,0.0,750.0,400.0,750.0,750.0,350.0,400.0,0.0,0.0,600.0,750.0,650.0,0.0,584.9999999999994,0.0,600.0,750.0,0.0,750.0,395.0,600.0000000000001,750.0,350.0,330.0,0.0,0.0,480.0
150.0,30.0,12,8,315.00000000000006,508.125,532.0833333333334,750.0,750.0,0.0,650.0,0.0,650.0,750.0,400.0,450.0,0.0,500.0,750.0,650.0,400.0,0.0,0.0,650.0,750.0,600.0,0.0,600.0,0.0,535.0000000000001,750.0,370.0,450.0,0.0,500.0,500.0,585.0000000000001,315.00000000000006,0.0,0.0,429.9999999999999
120.0,45.0,12,8,300.0,537.5,518.75,700.0,600.0,0.0,600.0,0.0,550.0,700.0,350.0,300.0,0.0,700.0,700.0,500.0,300.0,0.0,0.0,600.0,700.0,500.0,0.0,500.0,0.0,525.0,700.0,350.0,300.0,0.0,700.0,700.0,400.0,300.0,0.0,0.0,550.0
0.0,30.0,12,8,250.0,696.875,714.5833333333334,850.0,850.0,0.0,750.0,0.0,750.0,850.0,0.0,450.0,750.0,850.0,850.0,750.0,700.0,0.0,0.0,650.0,850.0,850.0,0.0,700.0,0.0,700.0,850.0,0.0,250.0,750.0,850.0,850.0,750.0,700.0,0.0,0.0,474.99999999999994
180.0,30.0,12,8,250.0,576.25,625.4166666666666,850.0,850.0,0.0,750.0,0.0,750.0,850.0,0.0,250.0,400.0,500.0,850.0,750.0,350.0,0.0,0.0,700.0,850.0,750.0,0.0,700.0,0.0,700.0,850.0,0.0,250.0,400.0,500.0,745.0000000000003,745.0000000000001,350.0,0.0,0.0,665.0
300.0,15.0,12,8,185.0,627.5,615.4166666666666,850.0,750.0,700.0,700.0,0.0,700.0,850.0,0.0,850.0,700.0,850.0,850.0,400.0,200.0,0.0,0.0,0.0,850.0,650.0,550.0,650.0,0.0,675.0,500.0,0.0,850.0,595.0,640.0000000000001,850.0,390.0,185.0,0.0,0.0,0.0
300.0,45.0,12,8,100.0,518.75,512.5,700.0,650.0,0.0,600.0,0.0,600.0,700.0,0.0,600.0,100.0,700.0,700.0,300.0,500.0,0.0,0.0,500.0,700.0,600.0,0.0,550.0,0.0,600.0,600.0,0.0,600.0,100.0,700.0,639.9999999999999,250.0,385.00000000000006,0.0,0.0,425.0
270.0,60.0,11,8,500.0,742.5,740.0,850.0,800.0,0.0,750.0,0.0,750.0,850.0,0.0,500.0,600.0,850.0,850.0,0.0,750.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,750.0,850.0,0.0,500.0,600.0,850.0,850.0,0.0,710.0,0.0,0.0,730.0
270.0,30.0,11,8,350.0,730.0,726.3636363636364,850.0,850.0,750.0,750.0,0.0,750.0,850.0,0.0,850.0,0.0,850.0,850.0,0.0,350.0,0.0,0.0,750.0,850.0,750.0,650.0,700.0,0.0,700.0,850.0,0.0,850.0,0.0,745.0,850.0,0.0,350.0,0.0,0.0,695.0
30.0,15.0,11,7,400.0,742.8571428571429,715.9090909090909,850.0,850.0,0.0,700.0,0.0,700.0,850.0,850.0,500.0,0.0,850.0,850.0,700.0,650.0,0.0,0.0,0.0,850.0,750.0,0.0,650.0,0.0,575.0,850.0,850.0,400.0,0.0,850.0,850.0,700.0,550.0,0.0,0.0,0.0
180.0,45.0,11,7,350.0,614.2857142857143,608.1818181818181,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,550.0,700.0,600.0,0.0,600.0,0.0,590.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,550.0
0.0,45.0,11,7,350.0,611.4285714285714,611.8181818181819,700.0,700.0,0.0,650.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,600.0,600.0,0.0,0.0,600.0,700.0,700.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,550.0,555.0,0.0,0.0,575.0
210.0,45.0,11,7,350.0,585.7142857142862,572.7272727272731,700.0,650.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,500.0,550.0,0.0,0.0,550.0,700.0,600.0,0.0,550.0,0.0,550.0,640.0000000000034,0.0,350.0,0.0,700.0,610.0000000000001,500.0,550.0,0.0,0.0,550.0
330.0,45.0,11,7,350.0,585.7142857142857,577.2727272727273,700.0,650.0,0.0,600.0,0.0,600.0,700.0,0.0,350.0,0.0,700.0,700.0,500.0,550.0,0.0,0.0,600.0,700.0,650.0,0.0,550.0,0.0,550.0,600.0,0.0,350.0,0.0,700.0,600.0,500.0,550.0,0.0,0.0,600.0
330.0,15.0,11,7,305.0,693.5714285714286,684.0909090909091,850.0,850.0,700.0,700.0,0.0,700.0,850.0,0.0,850.0,0.0,850.0,850.0,700.0,350.0,0.0,0.0,0.0,850.0,750.0,650.0,700.0,0.0,519.9999999999995,850.0,0.0,500.0,0.0,850.0,850.0,700.0,305.0,0.0,0.0,0.0
150.0,15.0,11,7,274.9999999999999,495.7142857142857,539.5454545454545,850.0,750.0,0.0,700.0,0.0,700.0,850.0,400.0,500.0,0.0,500.0,400.0,650.0,400.0,0.0,0.0,0.0,850.0,650.0,0.0,600.0,0.0,565.0000000000002,850.0,350.0,274.9999999999999,0.0,409.99999999999994,385.00000000000006,650.0,350.0,0.0,0.0,0.0
210.0,60.0,11,7,250.0,657.1428571428571,645.4545454545455,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,250.0,0.0,850.0,850.0,350.0,700.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,700.0,450.0,0.0,250.0,0.0,850.0,850.0,350.0,650.0,0.0,0.0,700.0
330.0,60.0,11,7,250.0,655.0,644.0909090909091,850.0,750.0,0.0,750.0,0.0,750.0,850.0,0.0,250.0,0.0,850.0,850.0,350.0,750.0,0.0,0.0,750.0,850.0,750.0,0.0,700.0,0.0,700.0,450.0,0.0,250.0,0.0,850.0,750.0,350.0,685.0,0.0,0.0,750.0
270.0,5.0,11,7,50.0,835.7142857142857,836.3636363636364,1000.0,900.0,0.0,850.0,850.0,850.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,850.0,50.0,0.0,0.0,0.0,1000.0,900.0,0.0,850.0,800.0,800.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,800.0,50.0,0.0,0.0,0.0
30.0,5.0,10,7,500.0,771.4285714285714,759.0,850.0,850.0,0.0,750.0,0.0,750.0,850.0,850.0,850.0,0.0,850.0,850.0,0.0,700.0,0.0,0.0,0.0,850.0,750.0,0.0,700.0,0.0,740.0,850.0,850.0,500.0,0.0,850.0,850.0,0.0,650.0,0.0,0.0,0.0
